Accession	Name	Country	Latitude	Longtitude	Necrosis_severity
403	Zdarec3	CZE	49.3667	16.2667	5
1061	Brösarp-11-135	SWE	55.7167	14.1333	4
1890	MNF-Riv-21	USA	43.5139	-86.1859	5
1925	MNF-Che-2	USA	43.5251	-86.1843	5
1954	MNF-Jac-12	USA	43.5187	-86.1739	5
2016	MNF-Pin-39	USA	43.5356	-86.1788	2
2202	Pent-23	USA	43.7623	-86.3929	5
2278	SLSP-35	USA	43.665	-86.496	5
2317	Ste-40	USA	42.03	-86.514	4
4826	UKSW06-226	UK	50.4	-4.9	5
5784	Ty-1	UK	56.4	-5.2	2
6009	Eden-1	SWE	62.877	18.177	5
6043	Löv-1	SWE	62.801	18.079	5
6046	Löv-5	SWE	62.801	18.079	5
6122	T670	SWE	55.8364	13.3075	3
6192	TDr-5	SWE	55.7692	14.1369	4
6221	TGR 02	SWE	62.806	18.1896	5
6235	TOM 01	SWE	62.9611	18.3589	5
6390	UduI 3-36	CZE	49.2771	16.6314	5
6396	UduI 4-9	CZE	49.2771	16.6314	5
6898	An-1	BEL	51.2167	4.4	3
6900	Bil-5	SWE	63.324	18.484	5
6901	Bil-7	SWE	63.324	18.484	5
6908	CIBC-5	UK	51.4083	-0.6383	3
6913	Eden-2	SWE	62.877	18.177	5
6917	Fäb-2	SWE	63.0165	18.3174	4
6918	Fäb-4	SWE	63.0165	18.3174	4
6922	Gu-0	GER	50.3	8	3
6940	Mz-0	GER	50.3	8.3	5
6943	NFA-10	UK	51.4083	-0.6383	4
6944	NFA-8	UK	51.4083	-0.6383	5
6945	Nok-3	NED	52.24	4.45	4
6989	Tamm-2	FIN	60	23.5	3
6992	Ang-0	BEL	50.3	5.3	5
7067	Ct-1	ITA	37.3	15	2
7107	Durh-1	UK	54.7761	-1.5733	2
7120	En-D	GER	50	8.5	3
7250	Me-0	GER	51.9183	10.1138	3
7276	Ob-0	GER	50.2	8.5833	5
7287	Ove-0	GER	53.3422	8.42255	3
7306	Pog-0	CAN	49.2655	-123.206	5
7307	Pn-0	FRA	48.0653	-2.96591	3
7347	Ste-0	GER	52.6058	11.8558	1
7349	Ta-0	CZE	49.5	14.5	4
7350	Tac-0	USA	47.2413	-122.459	3
7461	H55	CZE	49	15	5
7471	RLD-1	UNK			5
7947	PNA3.40	USA	42.0945	-86.3253	2
8214	Gy-0	FRA	49	2	5
8227	THÃ– 03	SWE	62.7989	17.9103	5
8290	En-1	GER	50	8.5	2
8311	In-0	AUT	47.5	11.5	3
8365	Rak-2	CZE	49	16	2
8366	Sr:5	SWE	58.9	11.2	5
9058	Västervik	SWE	57.75	16.6333	3
9067	Xan-3	AZE	38.6536	48.7992	3
9102	Lag1-4	GEO	41.8296	46.2831	5
9106	Lag1-8	GEO	41.8296	46.2831	5
9121	Bak-5	GEO	41.7942	43.4767	3
9332	Bar 1	SWE	62.8698	18.381	5
9436	Puk-1	SWE	56.1633	14.6806	4
9507	IP-Coa-0	POR	38.45	-7.5	1
9517	IP-All-0	ESP	42.19	-7.8	3
9518	IP-Alm-0	ESP	39.88	-0.36	1
9537	IP-Cum-1	ESP	38.07	-6.66	4
9548	IP-Hoy-0	ESP	40.4	-5	3
9569	IP-Pds-1	ESP	42.87	-6.45	1
9571	IP-Pro-0	ESP	43.28	-6.01	4
9590	IP-Trs-0	ESP	43.37	-5.49	5
9610	Lesno-4	RUS	53.04	51.96	4
9611	Lesno-1	RUS	53.04	51.9	3
9658	Nicas-1	ITA	38.97	16.34	3
9672	Mitterberg-3-188	ITA	46.37	11.28	3
9673	Mitterberg-3-189	ITA	46.37	11.28	3
9708	Kardz-1	BUL	41.62	25.35	5
9730	Bela-1	SVK	48.47	18.94	5
9735	Bela-4	SVK	48.47	18.94	5
9744	Iasi-1	ROU	47.16	27.59	4
9774	Alt-1	GER	48.59	9.22	1
9783	Tu-PK-7	GER	48.52	9.05	3
9853	Lac-0	ESP	43.33	-5.91	3
9897	Smt-1	ESP	40.95	-5.63	1
9905	Ven-0	ESP	40.76	-4.01	1
9941	Fei-0	POR	40.92	-8.54	2
10002	TueWal-2	GER	48.53	9.04	3
